Log for:/media/bdupuis/1091_PhD_BD/Research projects/tdr2nrj/script/
# timestamp | duration | file | instruction | dir | modtime | etag | size | fileId | status | errorString | http result code | other size | other modtime | X-Request-ID
#=#=#=# Syncrun started 2023-08-18T07:42:49Z
#=#=#=#=# Propagation starts 2023-08-18T07:42:49Z (last step: 458 msec , total: 458 msec) 
2023-08-18T07:42:49Z | 1.3-model_expenditure.qmd | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692282939 | aafd6a8c234dcb9af0c10071c06de5cb | 13580 | 3247420066ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 38763cd4-40da-466b-a30f-c206c35e8a45 | 
2023-08-18T07:42:49Z | 2.1.depth_correction.R | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1690268982 | 496203400942368e13f0d6b33791c4ea | 2629 | 3247420074ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 29dfdd0b-ae46-4abd-97d1-46cf395e10f2 | 
2023-08-18T07:42:49Z | 1.3-model_expenditure.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178844 | de2b450f3b7937494857a442f7946b58 | 141312 | 3247420078ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | a7918b4c-2aa6-4be1-954e-d97b9202bebc | 
2023-08-18T07:42:50Z | 1.2-behaviour_classification.qmd | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1689598351 | b25d782b720625e7c8bc7755e4ff9ad5 | 4808 | 3247420086ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 1c31502a-a526-4c25-b658-297e44e37161 | 
2023-08-18T07:42:50Z | 1.1-data_curation.qmd | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1690188106 | dc48d8e65cd8a79abcddc104d62d2c54 | 4482 | 3247420098ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 515a6fc7-9e1a-4e4d-9e3e-3727e5128c80 | 
2023-08-18T07:42:53Z | 2.3.get_dive_param.r | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1690297200 | 25f2649fe672f27f393c4ea70553b040 | 6052 | 3247420146ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | e23d5f57-3e44-4326-ae4f-707e4c6fd586 | 
2023-08-18T07:42:53Z | 2.2.data_exploration.R | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1690296277 | 5c34346900570ffbecfdb0eb7b13069e | 6040 | 3247420174ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | b05e5b4c-13c0-467d-9599-8b50b192d6a8 | 
2023-08-18T07:42:54Z | 2.4.data_summary.html | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1690360150 | 0cd19dec32eeaeb4cec9a9b28f89cd3f | 9533875 | 3247420190ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 3f323af1-980d-4e3c-a6c8-69e4c27df10a | 
2023-08-18T07:42:57Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-2-1.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178830 | e5c7c2c5863e2e03f7e90e425cd73197 | 62312 | 3247420230ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | df10c4b9-5310-48b2-ac39-95691a4504d0 | 
2023-08-18T07:42:58Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-3-1.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178830 | de810e4f5612b411089d2051e776a2ee | 45872 | 3247420254ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 16177d08-7dc3-4da2-8ba7-85b27c8c075c | 
2023-08-18T07:42:58Z | 1.3-model_expenditure_files/figure-html/unnamed-chunk-3-2.png | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1692178830 | 2dee2bea2a254691728568ccf3bfef91 | 42566 | 3247420246ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 2ea2e271-0e9d-4e96-8ebc-97ae3dd3c447 | 
2023-08-18T07:42:54Z | 2.4.data_summary.Rmd | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1690359892 | 0f521f373bca97097bdbac02168b1f95 | 14779 | 3247420266ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | fbfbe44f-3ef9-481e-b8ef-7ca5b54171f6 | 
2023-08-18T07:42:57Z | 2.5.split_dataset.r | SyncInstruction(CSYNC_INSTRUCTION_NEW) | OCC::SyncFileItem::Up | | 1690458541 | 50461c565f09c0ebda8f0124a69145cf | 1889 | 3247420234ocfcb4e58640 | OCC::SyncFileItem::Success |  | 201 | 0 | 0 | 190cf8f3-35a7-428e-808c-f30ff668765b | 
